,Betreuungsbezirk Nr,Betreuungsbezirk,Einrichtungsnummer,Einrichtungsname,Einrichtungsadresse,PLZ,Telefon,Plätze,Einrichtungsart,Trägernummer,Trägername,Trägerart,FullAddress,Unnamed: 0,long,lat
25,01,Mitte,1010570,Zions-Kindergarten,Griebenowstr. 016,10435,449 04 16,85.0,Kindertagesstätte,5425.0,Ev. Kirchenkreisverband für Kindertageseinrichtungen Berlin Mitte-Nord,Diakonisches Werk,Griebenowstr. 016 10435 Berlin,25,13.4048387,52.5355305
26,01,Mitte,1010580,Ev. Kita Sophien,Große Hamburger Str. 028,10115,24342439,84.0,Kindertagesstätte,5425.0,Ev. Kirchenkreisverband für Kindertageseinrichtungen Berlin Mitte-Nord,Diakonisches Werk,Große Hamburger Str. 028 10115 Berlin,26,13.3991541,52.5248111
27,01,Mitte,1010590,Kindergarten Alegria Jardin infantil,Mohrenstr. 007,10117,030 51055655,100.0,Kindertagesstätte,1301.0,Alegria Kiga gGmbH,Sonstiger freier Träger,Mohrenstr. 007 10117 Berlin,27,13.3870991,52.51197089999999
28,01,Mitte,1010620,Kita Habersaathstraße,Habersaathstr. 005,10115,282 35 35,90.0,Kindertagesstätte,1312.0,INA.KINDER.GARTEN gGmbH,Sonstiger freier Träger,Habersaathstr. 005 10115 Berlin,28,13.3742577,52.53062980000001
29,01,Mitte,1010630,Kita Kinderinsel,Eichendorffstr. 017,10115,41716928,30.0,Kindertagesstätte,1310.0,Kinderinsel e. V. Inselnest,Sonstiger freier Träger,Eichendorffstr. 017 10115 Berlin,29,13.3875041,52.530188
30,01,Mitte,1010640,Kinderladen Rosenthaler Vorstadt,Wolliner Str. 060,10435,030 5471 3948,19.0,Eltern-Initiativ-Kindertagesstätte,1152.0,Kinderladen Rosenthaler Vorstadt e.V.,Elterninitiativ-Kinderladen,Wolliner Str. 060 10435 Berlin,30,13.4033495,52.53749819999999
31,01,Mitte,1010720,Kita Fürstenberger Str. 4/5/Kigä City,Fürstenberger Str. 004,10435,34620678,180.0,Kindertagesstätte,120.0,Kindergärten City,Eigenbetrieb,Fürstenberger Str. 004 10435 Berlin,31,13.404722,52.537294
32,01,Mitte,1010810,EKT - Rosinante,Strelitzer Str. 071,10115,01636939419,17.0,Eltern-Initiativ-Kindertagesstätte,1173.0,Rosinante e.V.,Elterninitiativ-Kinderladen,Strelitzer Str. 071 10115 Berlin,32,13.3963202,52.5341499
33,01,Mitte,1010830,"EKT - ""Pippi Langstrumpf""",Krausnickstr. 003A,10115,2479252,21.0,Eltern-Initiativ-Kindertagesstätte,508.0,Kinderladen Pippi Langstrumpf e.V.,Elterninitiativ-Kinderladen,Krausnickstr. 003A 10115 Berlin,33,13.396341,52.5249156
34,01,Mitte,1010850,Kita Cavalo-Marinho/Portubi e.V.,Anklamer Str. 046,10115,4849 1840,30.0,Kindertagesstätte,1332.0,PORTUBI e. V.,Sonstiger freier Träger,Anklamer Str. 046 10115 Berlin,34,13.3970445,52.5347445
35,01,Mitte,1010870,Kinderladen Oskar Kirschkern,Anklamer Str. 029(Seitenflügel/Quergebäude),10115,017643318775,35.0,Kindertagesstätte,772.0,Kirschkern e.V.,Sonstiger freier Träger,Anklamer Str. 029(Seitenflügel/Quergebäude) 10115 Berlin,35,13.4006676,52.5362374
36,01,Mitte,1010890,Kindergarten Alegria,Voßstr. 012,10117,030 51055655,45.0,Kindertagesstätte,1301.0,Alegria Kiga gGmbH,Sonstiger freier Träger,Voßstr. 012 10117 Berlin,36,13.3800721,52.5109882
37,01,Mitte,1010900,Fliederhof Waldorfkindergarten Berlin-Mitte,Zionskirchstr. 049,10119,40006900,43.0,Eltern-Initiativ-Kindertagesstätte,1368.0,Waldorfkindergarten Fliederhof Berlin-Mitte e.V.,Elterninitiativ-Kinderladen,Zionskirchstr. 049 10119 Berlin,37,13.4061653,52.5339154
38,01,Mitte,1010940,EKT NaturKindergarten Berlin Mitte,Krausnickstr. 011,10115,27596089,19.0,Eltern-Initiativ-Kindertagesstätte,1388.0,Initiative zur Gründung eines Naturkindergartens in Berlin Mitte e.V.,Elterninitiativ-Kinderladen,Krausnickstr. 011 10115 Berlin,38,13.3983868,52.5254069
39,01,Mitte,1010950,Musikkindergarten Berlin,Leipziger Str. 041,10117,030-70084892,135.0,Kindertagesstätte,1713.0,MUSIKKINDERGARTEN BERLIN e.V. c/o Staatsoper im Schillertheater,Sonstiger freier Träger,Leipziger Str. 041 10117 Berlin,39,13.3942781,52.509821
40,01,Mitte,1010960,Schülerladen Paul Kirschkern,Anklamer Str. 029,10115,017643320882,25.0,Eltern-Initiativ-Kindertagesstätte,772.0,Kirschkern e.V.,Sonstiger freier Träger,Anklamer Str. 029 10115 Berlin,40,13.4006676,52.5362374
41,01,Mitte,1010980,Berlin Metropolitan School,Linienstr. 122-124,10115,887273918,140.0,Eltern-Initiativ-Kindertagesstätte,7373.0,Berlin Metropolitan School gGmbH,Sonstiger freier Träger,Linienstr. 122-124 10115 Berlin,41,13.3900456,52.52678119999999
42,01,Mitte,1011000,Lauder Nitzan Kindergarten Yeshivat Beit Zion-Lauder Jüdisches Lehrhaus,Brunnenstr. 033,10115,405046925,70.0,Kindertagesstätte,1391.0,Lauder Yeshurun gGmbH,Sonstiger freier Träger,Brunnenstr. 033 10115 Berlin,42,13.3978969,52.5353217
43,01,Mitte,1011000,Lauder Nitzan Kindergarten Yeshivat Beit Zion-Lauder Jüdisches Lehrhaus,Brunnenstr. 033,10115,405046925,70.0,Kindertagesstätte,1391.0,Lauder Yeshurun gGmbH,Sonstiger freier Träger,Brunnenstr. 033 10115 Berlin,68,13.3978969,52.5353217
44,01,Mitte,1011370,Eschkol Kindergarten,Brunnenstr. 033,10115,030405046918,25.0,Kindertagesstätte,8518.0,Kahal Adass Jisroel KiTa gemeinnützige UG (haftungsbeschränkt),Sonstiger freier Träger,Brunnenstr. 033 10115 Berlin,42,13.3978969,52.5353217
45,01,Mitte,1011370,Eschkol Kindergarten,Brunnenstr. 033,10115,030405046918,25.0,Kindertagesstätte,8518.0,Kahal Adass Jisroel KiTa gemeinnützige UG (haftungsbeschränkt),Sonstiger freier Träger,Brunnenstr. 033 10115 Berlin,68,13.3978969,52.5353217
46,01,Mitte,1011020,Kita CASA AZUL - MAISON BLEUE,Reinhardtstr. 031,10117,24083164,45.0,Kindertagesstätte,7393.0,CASA AZUL - BLAUES HAUS e.V.,Sonstiger freier Träger,Reinhardtstr. 031 10117 Berlin,43,13.3809107,52.5226142
47,01,Mitte,1011030,Kita Torstraße,Torstr. 134,10119,24628214,102.0,Kindertagesstätte,7434.0,"Be Smart Academy ""Alte Seifenfabrik"" gGmbH",Sonstiger freier Träger,Torstr. 134 10119 Berlin,44,13.3998572,52.5292843
48,01,Mitte,1011050,Kita im BMFSFJ,Glinkastr. 024,10117,030 325 144 85,20.0,Kindertagesstätte,1318.0,Kinder im Kiez gGmbH,Sonstiger freier Träger,Glinkastr. 024 10117 Berlin,45,13.3866667,52.5131226
49,01,Mitte,1011090,El mundo de los ninos,Brunnenstr. 030,10119,015775764079,42.0,Kindertagesstätte,7502.0,El mundo de los ninos e. V.,Sonstiger freier Träger,Brunnenstr. 030 10119 Berlin,46,13.3981698,52.5345799
50,01,Mitte,1011140,Kinderladen Piraterie,Anklamer Str. 022,10115,0176 10281206,20.0,Eltern-Initiativ-Kindertagesstätte,7773.0,Menkenke e. V.,Sonstiger freier Träger,Anklamer Str. 022 10115 Berlin,47,13.4002692,52.5355821
51,01,Mitte,1011150,Kita Adalbertstraße 24,Adalbertstr. 024,10179,03040054204,30.0,Kindertagesstätte,643.0,Gemeindeaufbauprojekt Kreuzberg Ost e.V.,Elterninitiativ-Kinderladen,Adalbertstr. 024 10179 Berlin,48,13.4223843,52.5056544
52,01,Mitte,1011160,FRÖBEL Kindergarten Mittendrin,Borsigstr. 032/34,10115,030 28500856,200.0,Kindertagesstätte,1227.0,Fröbel Bildung und Erziehung gGmbH,Sonstiger freier Träger,Borsigstr. 032/34 10115 Berlin,49,13.390609,52.5287381
53,01,Mitte,1011170,Kinderinsel MITTEndrin,Garnisonkirchplatz 002,10178,24723369,23.0,Kindertagesstätte,7875.0,Kinderinsel MITTEndrin - Kita am Hackeschen Markt gGmbH,Sonstiger freier Träger,Garnisonkirchplatz 002 10178 Berlin,50,13.4020009,52.5217675
54,01,Mitte,1011170,Kinderinsel MITTEndrin,Garnisonkirchplatz 002,10178,24723369,23.0,Kindertagesstätte,7875.0,Kinderinsel MITTEndrin - Kita am Hackeschen Markt gGmbH,Sonstiger freier Träger,Garnisonkirchplatz 002 10178 Berlin,55,13.4020009,52.5217675
55,01,Mitte,1011230,Kinderinsel Nebenan,Garnisonkirchplatz 002,10178,24723369,25.0,Kindertagesstätte,8074.0,Kinderinsel am Garnisonkirchplatz gUG (haftungsbeschränkt),Sonstiger freier Träger,Garnisonkirchplatz 002 10178 Berlin,50,13.4020009,52.5217675
56,01,Mitte,1011230,Kinderinsel Nebenan,Garnisonkirchplatz 002,10178,24723369,25.0,Kindertagesstätte,8074.0,Kinderinsel am Garnisonkirchplatz gUG (haftungsbeschränkt),Sonstiger freier Träger,Garnisonkirchplatz 002 10178 Berlin,55,13.4020009,52.5217675
